UniqueKey,year,category_id,category,subcategory_id,subcategory,project_id,project,amount
2011-1,2011,1 ,健康福祉,2,福祉,project_1,老人保健医療費拠出金,5248169
2011-3,2011,1 ,健康福祉,2,福祉,project_3,扶助費,1976070555
2011-701,2011,1 ,健康福祉,2,福祉,project_701,社会福祉総務費,0
2011-702,2011,1 ,健康福祉,2,福祉,project_702,社会福祉総務費,0
2011-703,2011,1 ,健康福祉,2,福祉,project_703,社会福祉総務費,0
2011-704,2011,1 ,健康福祉,2,福祉,project_704,社会福祉総務費,6676500
2011-705,2011,1 ,健康福祉,2,福祉,project_705,社会福祉総務費,160314295
2011-706,2011,1 ,健康福祉,2,福祉,project_706,社会福祉総務費,1959000
2011-707,2011,1 ,健康福祉,2,福祉,project_707,社会福祉総務費,1833600
2011-708,2011,1 ,健康福祉,2,福祉,project_708,社会福祉総務費,63119940
2011-709,2011,1 ,健康福祉,2,福祉,project_709,社会福祉総務費,7416896
2011-710,2011,1 ,健康福祉,2,福祉,project_710,社会福祉総務費,3207600
2011-711,2011,1 ,健康福祉,2,福祉,project_711,社会福祉総務費,3047000
2011-712,2011,1 ,健康福祉,2,福祉,project_712,社会福祉総務費,248389
2011-713,2011,1 ,健康福祉,2,福祉,project_713,社会福祉総務費,57734472
2011-714,2011,1 ,健康福祉,2,福祉,project_714,社会福祉総務費,50000
2011-715,2011,1 ,健康福祉,2,福祉,project_715,社会福祉総務費,999790
2011-716,2011,1 ,健康福祉,2,福祉,project_716,社会福祉総務費,58500
2011-717,2011,1 ,健康福祉,2,福祉,project_717,社会福祉総務費,0
2011-718,2011,1 ,健康福祉,2,福祉,project_718,社会福祉総務費,537120
2011-719,2011,1 ,健康福祉,2,福祉,project_719,社会福祉総務費,9900
2011-720,2011,1 ,健康福祉,2,福祉,project_720,社会福祉総務費,0
2011-721,2011,1 ,健康福祉,2,福祉,project_721,社会福祉総務費,0
2011-722,2011,1 ,健康福祉,2,福祉,project_722,社会福祉総務費,84000
2011-723,2011,1 ,健康福祉,2,福祉,project_723,社会福祉総務費,76391
2011-724,2011,1 ,健康福祉,2,福祉,project_724,社会福祉総務費,144867
2011-725,2011,1 ,健康福祉,2,福祉,project_725,社会福祉総務費,0
2011-726,2011,1 ,健康福祉,2,福祉,project_726,社会福祉総務費,145484
2011-727,2011,1 ,健康福祉,2,福祉,project_727,社会福祉総務費,28673698
2011-728,2011,1 ,健康福祉,2,福祉,project_728,社会福祉総務費,0
2011-729,2011,1 ,健康福祉,2,福祉,project_729,社会福祉総務費,428862
2011-730,2011,1 ,健康福祉,2,福祉,project_730,社会福祉総務費,762005
2011-731,2011,1 ,健康福祉,2,福祉,project_731,社会福祉総務費,5485200
2011-732,2011,1 ,健康福祉,2,福祉,project_732,社会福祉総務費,2923059
2011-733,2011,1 ,健康福祉,2,福祉,project_733,社会福祉総務費,13640
2011-734,2011,1 ,健康福祉,2,福祉,project_734,社会福祉総務費,101435
2011-735,2011,1 ,健康福祉,2,福祉,project_735,社会福祉総務費,35610
2011-736,2011,1 ,健康福祉,2,福祉,project_736,社会福祉総務費,0
2011-737,2011,1 ,健康福祉,2,福祉,project_737,社会福祉総務費,34710
2011-738,2011,1 ,健康福祉,2,福祉,project_738,社会福祉総務費,0
2011-739,2011,1 ,健康福祉,2,福祉,project_739,社会福祉総務費,12000
2011-740,2011,1 ,健康福祉,2,福祉,project_740,社会福祉総務費,0
2011-741,2011,1 ,健康福祉,2,福祉,project_741,社会福祉総務費,12000
2011-742,2011,1 ,健康福祉,2,福祉,project_742,社会福祉総務費,0
2011-743,2011,1 ,健康福祉,2,福祉,project_743,社会福祉総務費,300
2011-744,2011,1 ,健康福祉,2,福祉,project_744,社会福祉総務費,909451
2011-745,2011,1 ,健康福祉,2,福祉,project_745,社会福祉総務費,472500
2011-746,2011,1 ,健康福祉,2,福祉,project_746,社会福祉総務費,0
2011-747,2011,1 ,健康福祉,2,福祉,project_747,社会福祉総務費,0
2011-748,2011,1 ,健康福祉,2,福祉,project_748,社会福祉総務費,67000
2011-749,2011,1 ,健康福祉,2,福祉,project_749,社会福祉総務費,20538210
2011-750,2011,1 ,健康福祉,2,福祉,project_750,社会福祉総務費,0
2011-751,2011,1 ,健康福祉,2,福祉,project_751,社会福祉総務費,813510
2011-752,2011,1 ,健康福祉,2,福祉,project_752,社会福祉総務費,136750
2011-753,2011,1 ,健康福祉,2,福祉,project_753,社会福祉総務費,458064
2011-754,2011,1 ,健康福祉,2,福祉,project_754,社会福祉総務費,0
2011-755,2011,1 ,健康福祉,2,福祉,project_755,社会福祉総務費,28382550
2011-756,2011,1 ,健康福祉,2,福祉,project_756,社会福祉総務費,0
2011-757,2011,1 ,健康福祉,2,福祉,project_757,社会福祉総務費,920008
